id,title,category,client_pain_point,proposed_requirement,why_it_matters,related_gap,priority,effort,status,source,date_added
NR-001,Third-Party / Vendor Risk Lifecycle,Third-Party Risk,Clients track vendors in spreadsheets outside the risk register; nobody notices a vendor's SOC 2 lapsed or a contract auto-renewed with no re-assessment.,"Add vendor-specific fields to Entity (contract_end_date, criticality_tier, last_due_diligence_date) and a recurring due-diligence assessment trigger tied to contract_end_date.",Vendor risk is the #1 source of third-party breaches; entities.type already has 'Vendor' but nothing distinguishes vendor lifecycle from an internal app.,entities table has no contract/renewal fields; no scheduled reassessment exists anywhere in the app,High,M,Proposed,claude-session,2026-08-25
NR-002,Control-to-Framework Many-to-Many Mapping,Compliance Mapping,"One MFA control satisfies SOX, ISO 27001, and a customer's vendor questionnaire simultaneously; auditors ask 'which frameworks does this control cover?' and today there's no answer.","Add a control_framework_map join table (control_id, framework_id, requirement_reference) so a single control can be reported against every framework it satisfies.",Duplicate controls for equivalent framework requirements is the single biggest compliance-program inefficiency clients complain about.,controls links to a single risk_id only; risk_frameworks exists but has no relationship to controls at all,High,M,Proposed,claude-session,2026-08-25
NR-003,"Evidence Attachments on Assessments, Controls, and Issues",Evidence Management,"Assessors are asked to 'show your work' — a screenshot, a policy PDF, an audit report — but today they can only type a text justification.","Add an evidence_attachments table (record_type, record_id, file_url, uploaded_by, uploaded_at) with upload endpoints wired into the assessment, control, and issue detail views.",The original requirements doc explicitly calls out 'evidence/comments' for assessments; only a free-text justification field was ever built.,assessment_responses.justification is the only evidence field in the entire schema; no file storage exists,High,M,Proposed,claude-session,2026-08-25
NR-004,Issue Root Cause & Corrective Action Plan (CAPA),Issue Management,"Auditors close an issue, it reopens six months later because the fix addressed the symptom, not the cause — a classic finding in maturity assessments.","Add root_cause, corrective_action, effectiveness_check_date, and recurrence_count fields to Issue, plus a verification step before state can move to Closed.",CAPA discipline is a named SOX/ISO control-maturity expectation; current issues table only tracks title/priority/state with no cause analysis.,issues table has no root-cause or corrective-action fields; state can jump straight to Closed with no verification gate,High,S,Proposed,claude-session,2026-08-25
NR-005,Risk Appetite & Tolerance Thresholds,Risk Governance,A risk scoring 20/25 sits in the register with no signal that it breaches the board's stated risk appetite until someone eyeballs the heatmap.,"Add a risk_appetite_thresholds table (category or department scoped, max_acceptable_score) and auto-flag/escalate risks whose inherent or residual score exceeds it.","Risk appetite statements are a governance requirement in most frameworks (COSO ERM, ISO 31000); scoring today is descriptive, never evaluated against a limit.",risks.inherent/residual scores are stored but never compared against any configured threshold,High,M,Proposed,claude-session,2026-08-25
NR-006,Segregation-of-Duties Approval Gate on Risk Acceptance,Workflow / Controls,An analyst self-assesses a risk as low and moves it straight to Monitor with no second set of eyes — auditors flag this as a SoD violation every time.,"Require a second, different user's approval before a Risk can transition into 'Monitor' state when residual score exceeds the appetite threshold (depends on NR-005 and real auth).",Segregation of duties on risk acceptance is one of the most commonly cited findings in internal audit reviews of GRC programs.,risks.state transitions have no approval step and no enforcement that assigned_to != approver,Medium,M,Proposed,claude-session,2026-08-25
NR-007,Overdue-Item Notifications & Escalation,Workflow / Automation,A risk task's due_date passes and nothing happens — the owner finds out three weeks later when the auditor asks why it's still open.,"A scheduled job that scans risk_tasks.due_date and risk_mitigations.target_date, and on breach both flags the record and emits a notification (email/Slack webhook) to assigned_to/owner.",Timely remediation tracking is the difference between a GRC tool and a spreadsheet with better graphics; clients expect this as table stakes.,due_date and target_date columns exist and are never checked against the current date anywhere in the app,Medium,M,Proposed,claude-session,2026-08-25
NR-008,Historical Risk Score Trending,Reporting,Leadership asks 'is our risk posture improving quarter over quarter?' and the only answer available is today's snapshot from /reports/risk-summary.,"Snapshot risks_by_state, avg_inherent_score, and avg_residual_score into a risk_score_history table on a schedule, and add a trend endpoint/chart to the dashboard.",Trend-over-time is the single most requested executive reporting feature in every GRC maturity conversation; a point-in-time snapshot can't show direction.,risk-summary report is computed live from current rows with no historical persistence at all,Medium,M,Proposed,claude-session,2026-08-25
NR-009,Board-Ready Report Export (PDF),Reporting,The compliance manager copies dashboard numbers into a PowerPoint by hand every month for the board pack.,"Add a PDF export of the risk-summary report (totals, heatmap, top issues) generated server-side, downloadable from the dashboard.","Board and audit-committee reporting is a recurring, high-visibility deliverable clients need to produce on a fixed cadence; JSON isn't presentable.",reports/risk-summary only returns JSON; no export/rendering exists in either backend or frontend,Medium,M,Proposed,claude-session,2026-08-25
NR-010,Recurring / Scheduled Assessments,Assessment Engine,"Quarterly SOX control testing and annual vendor reviews are calendar-driven, but every assessment today has to be created manually one at a time.","Add a recurrence_rule (e.g. quarterly, annual) to AssessmentTemplate and a scheduler that auto-instantiates new RiskAssessment rows tied to the right risk/entity when a cycle comes due.",Compliance calendars are inherently recurring; manual re-creation is exactly the kind of busywork a GRC tool is supposed to remove.,assessment_templates has no recurrence concept; risk_assessments are only ever created one-off via the launcher form,Medium,L,Proposed,claude-session,2026-08-25
NR-011,Configurable Scoring Matrix per Methodology,Assessment Engine,"One business unit wants a 5x5 qualitative matrix, another wants a quantitative dollar-loss (FAIR-style) model — today every risk is forced into the same 1-5 likelihood x impact scale.","Let risk_methodologies.scoring_logic reference a structured scoring config (matrix size, band thresholds, or ALE formula) that risk-summary and dashboard calculations actually apply, instead of a free-text description.","RiskMethodology.assessment_type already distinguishes Qualitative/Quantitative/Hybrid, but scoring_logic is never read by any code path — it's decorative.",scoring_logic column exists on risk_methodologies but no code in backend/main.py or the frontend consumes it,Medium,L,Proposed,claude-session,2026-08-25
NR-012,Role-Based Access Control Enforcement,Security / Identity,"Every user can currently edit or delete any risk, control, or issue through the API — a real compliance client would fail an access-review audit immediately.",Wire the existing users/roles tables into actual request authentication (replace the X-User header with a real session/token) and gate write endpoints by role (e.g. only Assessor role can submit assessments).,CLAUDE.md already notes users/roles are 'standalone... for future auth' — this is the single largest gap between a demo and something a client could actually deploy.,users/roles tables exist but nothing in main.py authenticates a request or checks role permissions before a write,High,L,Proposed,claude-session,2026-08-25
NR-013,Bulk Import / Export (CSV/Excel) for Risk Register,Data Migration,Clients migrating off Excel or a legacy GRC tool have hundreds of existing risks and won't re-key them one at a time through a create form.,"Add CSV import (validate + bulk-insert) and export endpoints for risks, controls, and entities, with column mapping and error reporting for bad rows.",Onboarding is the first real interaction a new client has with the product; a register that can only be built one row at a time is a hard adoption blocker.,every resource is create-one-at-a-time via the generic CRUD router; no bulk endpoints exist anywhere,Medium,M,Proposed,claude-session,2026-08-25
NR-014,Global Search & Cross-Entity Filtering,UX,A client with 500+ risks can't find 'the one about the Salesforce outage' without scrolling a single unpaginated table.,"Add a global search bar (risk/control/issue name+description) and server-side filter/sort/pagination on the list endpoints, replacing full-table client-side rendering.",The workspace dashboard renders the entire risks/controls/issues table client-side with no pagination — this won't scale past a demo dataset.,GET /api/v1/risks (and siblings) has no search param and returns the full table; frontend renders all rows unpaginated,Medium,M,Proposed,claude-session,2026-08-25
NR-015,Business Unit / Multi-Tenant Segmentation,Enterprise Scale,A holding company wants each subsidiary to see only its own risk register while sharing common frameworks and control libraries at the parent level.,"Add a business_unit/tenant scope to risks, controls, and issues (department_id already exists as a loose grouping) and filter list/report endpoints by the requesting user's assigned unit.",Multi-entity organizations are a large share of the real GRC market; today's registry is a single flat global list with no isolation.,department_id groups entities but risks/controls/issues aren't scoped or filterable by it in any endpoint or UI view,Low,L,Proposed,claude-session,2026-08-25
NR-016,Continuous Control Monitoring via Real Integrations,Automation,"The current 'trigger-test' button randomly flips a control to Pass/Fail — real clients want controls tested by actually querying the system they monitor (e.g. an IdP for MFA enforcement, a cloud config API for encryption-at-rest).","Define a pluggable control-test interface (webhook or scheduled connector) so a control can be wired to a real external check instead of random.choice, with test history retained per control.",Continuous Control Monitoring (CCM) is the direction the entire GRC market has moved toward; the current simulator is explicitly a placeholder (backend/main.py's random Pass/Fail).,"POST /api/v1/simulation/trigger-test uses random.choice(['Pass','Fail']) with no real signal source and no per-test history stored",Medium,L,Proposed,claude-session,2026-08-25
